,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
166,HP,14s,Core i3,4 GB GB,0 GB,1024 GB,36490
167,ASUS,VivoBook,Core i3,4 GB GB,0 GB,1024 GB,38990
168,ASUS,Missing,Core i3,4 GB GB,0 GB,1024 GB,33990
169,DELL,Inspiron,Core i3,4 GB GB,0 GB,1024 GB,43400
170,ASUS,Chromebook,Celeron Dual,4 GB GB,0 GB,512 GB,24990
171,HP,15s,Core i3,4 GB GB,0 GB,1024 GB,40750
172,DELL,Inspiron,Core i3,4 GB GB,0 GB,1024 GB,43000
173,ASUS,Vivo,Core i3,4 GB GB,0 GB,1024 GB,38000
174,DELL,Inspiron,Core i3,8 GB GB,0 GB,1024 GB,37990
175,HP,DA,Core i3,8 GB GB,0 GB,1024 GB,49279
176,Lenovo,Missing,Core i3,8 GB GB,0 GB,1024 GB,38999
177,ASUS,Missing,Core i3,8 GB GB,0 GB,1024 GB,41500
178,acer,Missing,Core i3,4 GB GB,0 GB,1024 GB,36999
179,DELL,Missing,Core i3,8 GB GB,0 GB,1024 GB,42900
180,ASUS,Chromebook,Celeron Dual,4 GB GB,0 GB,512 GB,21490
181,DELL,Insprion,Core i3,8 GB GB,0 GB,1024 GB,41480
182,ASUS,VivoBook,Core i3,8 GB GB,0 GB,1024 GB,32990
183,ASUS,VivoBook,Core i3,8 GB GB,0 GB,1024 GB,38680
184,ASUS,Chromebook,Celeron Dual,4 GB GB,0 GB,512 GB,23990
185,DELL,Missing,Core i3,8 GB GB,0 GB,1024 GB,40390
186,ASUS,VivoBook,Core i3,4 GB GB,0 GB,1024 GB,33990
187,ASUS,Chromebook,Celeron Dual,4 GB GB,0 GB,512 GB,20490
188,DELL,Vostro,Core i3,8 GB GB,256 GB,1024 GB,41490
189,DELL,Inspiron,Core i3,8 GB GB,256 GB,1024 GB,45490
190,DELL,Inspiron,Core i3,8 GB GB,256 GB,1024 GB,44490
191,ASUS,VivoBook,Core i3,8 GB GB,256 GB,1024 GB,41890
192,DELL,Vostro,Core i3,4 GB GB,256 GB,1024 GB,42990
193,acer,Travelmate,Core i3,8 GB GB,256 GB,1024 GB,40990
194,DELL,Inspiron,Core i3,8 GB GB,256 GB,1024 GB,48990
195,DELL,Vostro,Core i3,4 GB GB,256 GB,1024 GB,43590
196,DELL,Inspiron,Core i3,4 GB GB,256 GB,1024 GB,44690
197,ASUS,ExpertBook,Core i3,4 GB GB,256 GB,1024 GB,40990
198,DELL,Vostro,Core i3,4 GB GB,256 GB,1024 GB,43990
200,DELL,Vostro,Core i3,4 GB GB,256 GB,1024 GB,41390
201,DELL,Vostro,Core i3,4 GB GB,256 GB,1024 GB,44290
202,DELL,Inspiron,Core i3,4 GB GB,256 GB,1024 GB,48999
203,DELL,Vostro,Core i3,4 GB GB,256 GB,1024 GB,39990
204,DELL,Missing,Core i3,8 GB GB,256 GB,1024 GB,46390
205,ASUS,Chromebook,Celeron Dual,4 GB GB,0 GB,512 GB,18990
206,ASUS,Chromebook,Celeron Dual,4 GB GB,0 GB,512 GB,17990
207,HP,14a,Celeron Dual,4 GB GB,0 GB,512 GB,26470
208,HP,Chromebook,Celeron Dual,4 GB GB,0 GB,512 GB,27990
209,Lenovo,Celeron,Celeron Dual,4 GB GB,0 GB,1024 GB,29999
210,Lenovo,IdeaPad,Celeron Dual,4 GB GB,0 GB,512 GB,25990
211,Lenovo,IdeaPad,Celeron Dual,4 GB GB,0 GB,512 GB,16990
212,Lenovo,IdeaPad,Celeron Dual,4 GB GB,0 GB,512 GB,24990
213,acer,Predator,Core,4 GB GB,0 GB,512 GB,99990
214,acer,Aspire,Core i5,8 GB GB,0 GB,512 GB,50990
215,acer,Spin,Core i5,8 GB GB,0 GB,512 GB,119990
216,acer,Swift,Core i5,8 GB GB,0 GB,512 GB,94190
217,ASUS,ROG,Core i5,8 GB GB,0 GB,512 GB,106167
218,DELL,Missing,Core i5,8 GB GB,0 GB,512 GB,68090
219,DELL,XPS,Core i5,8 GB GB,0 GB,512 GB,139990
220,HP,15s,Core i5,8 GB GB,0 GB,512 GB,55990
221,HP,Omen,Core i5,8 GB GB,0 GB,512 GB,102551
222,lenovo,Ideapad,Core i5,8 GB GB,0 GB,512 GB,72990
223,Lenovo,Ideapad,Core i5,8 GB GB,0 GB,512 GB,46990
224,MICROSOFT,Surface,Core i5,8 GB GB,128 GB,0 GB,100190
225,Smartron,t.book,Core i5,8 GB GB,128 GB,0 GB,52990
226,MICROSOFT,Surface,Core i5,8 GB GB,128 GB,0 GB,91999
227,Smartron,t.book,Core i5,4 GB GB,128 GB,0 GB,52990
228,HP,Pavilion,Core i5,8 GB GB,128 GB,0 GB,76012
229,Lenovo,Ideapad,Core i5,8 GB GB,256 GB,0 GB,49490
230,lenovo,Yoga,Core i5,8 GB GB,0 GB,512 GB,102990
231,acer,Swift,Core i5,8 GB GB,256 GB,0 GB,86867
232,LG,Gram,Core i5,8 GB GB,256 GB,0 GB,76990
234,ASUS,VivoBook,Core i5,8 GB GB,256 GB,0 GB,48990
235,LG,Gram,Core i5,8 GB GB,256 GB,0 GB,62990
236,DELL,Inspiron,Core i5,8 GB GB,256 GB,0 GB,55990
237,acer,Swift,Core i5,8 GB GB,256 GB,0 GB,81998
239,HP,Spectre,Core i5,8 GB GB,256 GB,0 GB,136590
240,acer,Swift,Core i5,8 GB GB,256 GB,0 GB,59490
241,ASUS,VivoBook14,Core i5,8 GB GB,256 GB,0 GB,49800
242,Lenovo,Ideapad,Core i5,8 GB GB,256 GB,0 GB,61999
243,HP,Missing,Core i5,8 GB GB,512 GB,0 GB,54990
244,HP,Missing,Core i5,8 GB GB,512 GB,0 GB,53990
